customer_id,company_name,document,company_size,region_id,campaign_id,seller_id,signup_date
1,NovaSaaS Cliente 00001,34836784000121,Small,PE,2,40,2024-01-03
2,NovaSaaS Cliente 00002,67913675000133,Medium,RJ,3,6,2025-10-04
3,NovaSaaS Cliente 00003,40986772000168,Medium,PE,1,9,2024-09-05
4,NovaSaaS Cliente 00004,36660706000142,Small,SP,3,28,2024-03-15
5,NovaSaaS Cliente 00005,54926799000120,Medium,SC,1,7,2025-03-28
6,NovaSaaS Cliente 00006,94165381000197,Medium,PR,3,5,2025-12-01
7,NovaSaaS Cliente 00007,74171269000119,Small,RJ,1,28,2025-12-27
8,NovaSaaS Cliente 00008,52518378000141,Small,SC,5,39,2024-03-19
9,NovaSaaS Cliente 00009,24972160000188,Medium,SP,1,6,2025-08-02
10,NovaSaaS Cliente 00010,47352706000168,Micro,CE,4,27,2024-09-21
11,NovaSaaS Cliente 00011,72202304000138,Micro,BA,3,22,2025-09-03
12,NovaSaaS Cliente 00012,97331209000183,Micro,SP,2,39,2025-03-19
13,NovaSaaS Cliente 00013,55098869000157,Medium,SC,4,39,2025-06-18
14,NovaSaaS Cliente 00014,10729890000128,Medium,GO,5,23,2025-09-04
15,NovaSaaS Cliente 00015,10554700000181,Medium,MG,1,36,2025-10-16
16,NovaSaaS Cliente 00016,94690838000124,Medium,RJ,4,9,2024-04-14
17,NovaSaaS Cliente 00017,35306256000141,Small,PE,2,24,2025-06-13
18,NovaSaaS Cliente 00018,83085846000146,Small,SP,4,7,2024-04-13
19,NovaSaaS Cliente 00019,13920401000162,Micro,RS,5,1,2025-11-21
20,NovaSaaS Cliente 00020,23222539000167,Micro,SP,4,31,2025-04-04
21,NovaSaaS Cliente 00021,87110155000116,Medium,RS,1,23,2024-05-20
22,NovaSaaS Cliente 00022,99468217000169,Small,MG,2,1,2024-08-01
23,NovaSaaS Cliente 00023,14673063000129,Small,SP,3,33,2025-10-16
24,NovaSaaS Cliente 00024,25087327000188,Medium,CE,1,36,2025-04-16
25,NovaSaaS Cliente 00025,75062069000143,Medium,PR,4,16,2024-06-16
26,NovaSaaS Cliente 00026,57655265000141,Small,RJ,4,2,2025-08-22
27,NovaSaaS Cliente 00027,46536943000166,Small,BA,5,12,2025-06-09
28,NovaSaaS Cliente 00028,27502078000177,Small,PR,1,25,2024-02-26
29,NovaSaaS Cliente 00029,95089181000196,Micro,SP,4,3,2024-07-26
30,NovaSaaS Cliente 00030,25504169000146,Small,RS,2,16,2025-09-09
31,NovaSaaS Cliente 00031,33872460000166,Micro,DF,1,9,2024-09-13
32,NovaSaaS Cliente 00032,39186830000145,Small,SP,3,25,2024-01-28
33,NovaSaaS Cliente 00033,22472487000159,Large,CE,3,9,2025-03-17
34,NovaSaaS Cliente 00034,58260974000159,Micro,SC,2,32,2025-10-19
35,NovaSaaS Cliente 00035,40719256000177,Micro,SP,5,13,2025-02-10
36,NovaSaaS Cliente 00036,64706274000125,Small,BA,1,5,2025-12-14
37,NovaSaaS Cliente 00037,43107227000168,Small,MG,2,11,2024-03-24
38,NovaSaaS Cliente 00038,20478117000141,Medium,PE,1,38,2025-05-02
39,NovaSaaS Cliente 00039,88533763000149,Small,RS,1,32,2025-04-19
40,NovaSaaS Cliente 00040,55868686000170,Medium,SP,2,24,2025-12-20
