subscription_id,customer_id,plan_id,start_date,cancel_date,subscription_status,discount_pct,net_monthly_price
1,1,1,2024-01-03,,Active,0.0,99.9
2,2,2,2025-10-04,,Active,0.2,199.92
3,3,3,2024-09-05,,Active,0.2,479.92
4,4,2,2024-03-15,,Active,0.0,249.9
5,5,2,2025-03-28,,Active,0.05,237.4
6,6,2,2025-12-01,,Active,0.0,249.9
7,7,2,2025-12-27,,Active,0.0,249.9
8,8,2,2024-03-19,,Active,0.0,249.9
9,9,4,2025-08-02,,Active,0.0,1499.9
10,10,2,2024-09-21,2025-04-06,Cancelled,0.0,249.9
11,11,1,2025-09-03,,Active,0.2,79.92
12,12,1,2025-03-19,,Active,0.0,99.9
13,13,3,2025-06-18,,Active,0.0,599.9
14,14,2,2025-09-04,,Active,0.1,224.91
15,15,3,2025-10-16,,Active,0.0,599.9
16,16,2,2024-04-14,,Active,0.0,249.9
17,17,1,2025-06-13,,Active,0.05,94.9
18,18,2,2024-04-13,,Active,0.0,249.9
19,19,2,2025-11-21,,Active,0.0,249.9
20,20,3,2025-04-04,,Active,0.2,479.92
21,21,3,2024-05-20,,Active,0.1,539.91
22,22,2,2024-08-01,,Active,0.0,249.9
23,23,2,2025-10-16,,Active,0.15,212.42
24,24,1,2025-04-16,,Active,0.15,84.92
25,25,3,2024-06-16,,Active,0.0,599.9
26,26,3,2025-08-22,,Active,0.2,479.92
27,27,2,2025-06-09,,Active,0.0,249.9
28,28,3,2024-02-26,,Active,0.2,479.92
29,29,1,2024-07-26,,Active,0.05,94.9
30,30,1,2025-09-09,,Active,0.0,99.9
31,31,1,2024-09-13,2025-07-16,Cancelled,0.0,99.9
32,32,3,2024-01-28,,Active,0.0,599.9
33,33,3,2025-03-17,,Active,0.0,599.9
34,34,2,2025-10-19,,Active,0.1,224.91
35,35,1,2025-02-10,,Active,0.0,99.9
36,36,2,2025-12-14,,Active,0.0,249.9
37,37,2,2024-03-24,2025-05-16,Cancelled,0.05,237.4
38,38,2,2025-05-02,2025-09-11,Cancelled,0.05,237.4
39,39,2,2025-04-19,,Active,0.0,249.9
40,40,3,2025-12-20,,Active,0.0,599.9
41,41,3,2025-01-15,,Active,0.1,539.91
42,42,1,2025-08-23,,Active,0.0,99.9
43,43,2,2024-04-16,,Active,0.0,249.9
44,44,3,2024-02-02,,Active,0.2,479.92
45,45,1,2025-06-07,,Active,0.0,99.9
46,46,2,2024-01-03,,Active,0.15,212.42
47,47,3,2025-10-01,,Active,0.0,599.9
48,48,2,2024-01-16,,Active,0.2,199.92
49,49,1,2025-05-18,,Active,0.0,99.9
50,50,2,2024-11-26,,Active,0.1,224.91
51,51,1,2025-04-16,,Active,0.2,79.92
52,52,2,2025-03-31,2025-11-11,Cancelled,0.0,249.9
53,53,1,2024-11-20,,Active,0.0,99.9
54,54,2,2024-12-17,,Active,0.0,249.9
55,55,3,2025-01-02,,Active,0.1,539.91
56,56,3,2025-05-09,,Active,0.05,569.9
57,57,1,2025-06-03,,Active,0.15,84.92
58,58,3,2024-11-24,,Active,0.0,599.9
59,59,1,2024-09-14,,Active,0.0,99.9
60,60,3,2024-02-01,,Active,0.0,599.9
61,61,4,2025-07-23,,Active,0.0,1499.9
62,62,3,2024-06-14,,Active,0.0,599.9
63,63,2,2024-11-13,,Active,0.0,249.9
64,64,4,2025-12-26,,Active,0.0,1499.9
65,65,3,2025-07-27,,Active,0.0,599.9
66,66,2,2024-09-09,,Active,0.05,237.4
67,67,1,2024-12-13,,Active,0.1,89.91
68,68,2,2024-08-25,,Active,0.15,212.42
69,69,2,2025-04-02,,Active,0.0,249.9
70,70,3,2024-04-21,,Active,0.05,569.9
71,71,2,2025-11-27,,Active,0.05,237.4
72,72,1,2025-12-22,,Active,0.15,84.92
73,73,1,2024-08-06,,Active,0.1,89.91
74,74,3,2024-06-17,,Active,0.0,599.9
75,75,1,2025-01-29,,Active,0.0,99.9
76,76,3,2025-04-17,,Active,0.05,569.9
77,77,4,2025-04-15,,Active,0.1,1349.91
78,78,3,2024-01-31,,Active,0.0,599.9
79,79,2,2025-06-03,,Active,0.05,237.4
80,80,2,2024-02-18,,Active,0.0,249.9
81,81,1,2024-09-06,,Active,0.2,79.92
82,82,2,2025-06-07,,Active,0.2,199.92
83,83,1,2025-10-10,,Active,0.15,84.92
84,84,1,2025-04-09,,Active,0.15,84.92
85,85,1,2024-04-26,2025-05-04,Cancelled,0.2,79.92
86,86,1,2025-05-12,2025-06-20,Cancelled,0.0,99.9
87,87,1,2024-01-28,,Active,0.05,94.9
88,88,3,2024-06-17,,Active,0.0,599.9
89,89,1,2024-03-31,2024-12-17,Cancelled,0.0,99.9
90,90,2,2025-12-20,,Active,0.0,249.9
91,91,2,2024-09-26,2025-06-23,Cancelled,0.1,224.91
92,92,2,2025-02-12,,Active,0.0,249.9
