customer_id,usage_month,active_days,logins,features_used,support_tickets,engagement_score
1,2024-01-01,16,73,4,3,94.1
1,2024-02-01,19,74,6,1,116.8
1,2024-03-01,13,44,2,2,60.8
1,2024-04-01,19,46,10,1,117.2
1,2024-05-01,27,101,4,3,135.7
1,2024-06-01,4,24,6,2,48.8
1,2024-07-01,8,26,7,0,69.2
1,2024-08-01,3,10,5,3,29.0
1,2024-09-01,10,45,7,1,83.5
1,2024-10-01,11,41,6,2,74.7
1,2024-11-01,14,39,6,5,70.3
1,2024-12-01,15,80,8,2,120.0
1,2025-01-01,4,11,8,2,49.7
1,2025-02-01,4,20,5,4,35.0
1,2025-03-01,12,41,4,1,69.7
1,2025-04-01,16,81,3,1,100.7
1,2025-05-01,6,30,4,0,53.0
1,2025-06-01,30,143,5,5,170.1
1,2025-07-01,8,43,6,1,73.1
1,2025-08-01,13,67,7,2,101.9
1,2025-09-01,8,37,6,3,62.9
1,2025-10-01,10,39,4,3,58.3
1,2025-11-01,13,57,7,1,97.9
1,2025-12-01,1,9,4,4,16.3
2,2025-10-01,14,42,13,3,113.4
2,2025-11-01,8,30,6,2,61.0
2,2025-12-01,13,41,6,3,75.7
3,2024-09-01,25,124,11,3,182.8
3,2024-10-01,24,104,8,2,154.8
3,2024-11-01,3,14,11,5,55.8
3,2024-12-01,17,75,8,4,114.5
3,2025-01-01,30,288,6,2,285.6
3,2025-02-01,13,71,9,1,117.7
3,2025-03-01,3,16,10,10,37.2
3,2025-04-01,13,39,11,8,84.3
3,2025-05-01,17,44,13,7,108.8
3,2025-06-01,15,66,11,4,119.2
3,2025-07-01,5,26,11,3,74.2
3,2025-08-01,25,100,7,2,149.0
3,2025-09-01,30,163,9,2,213.1
3,2025-10-01,9,28,10,6,69.6
3,2025-11-01,24,101,11,5,158.7
3,2025-12-01,11,36,5,4,60.2
4,2024-03-01,3,10,6,2,37.0
4,2024-04-01,4,22,9,4,56.4
4,2024-05-01,17,85,11,5,133.5
4,2024-06-01,19,99,7,2,136.3
4,2024-07-01,2,12,11,5,52.4
4,2024-08-01,14,72,11,3,124.4
4,2024-09-01,30,84,11,1,170.8
4,2024-10-01,5,19,7,5,43.3
4,2024-11-01,18,48,4,2,83.6
4,2024-12-01,7,23,6,2,54.1
4,2025-01-01,19,81,6,3,115.7
4,2025-02-01,13,55,7,1,96.5
4,2025-03-01,10,49,4,3,65.3
4,2025-04-01,23,122,6,0,161.4
4,2025-05-01,11,40,13,1,112.0
4,2025-06-01,12,65,3,5,69.5
4,2025-07-01,30,133,6,2,177.1
4,2025-08-01,13,61,10,2,112.7
4,2025-09-01,7,25,6,2,55.5
4,2025-10-01,13,39,2,2,57.3
4,2025-11-01,15,47,12,2,116.9
4,2025-12-01,0,0,10,4,38.0
5,2025-03-01,30,149,7,2,193.3
5,2025-04-01,30,155,7,1,200.5
5,2025-05-01,27,109,10,3,171.3
5,2025-06-01,10,38,13,3,102.6
5,2025-07-01,16,64,10,7,105.8
5,2025-08-01,3,15,5,4,29.5
5,2025-09-01,18,46,10,1,115.2
5,2025-10-01,14,46,3,3,66.2
5,2025-11-01,6,21,8,2,60.7
5,2025-12-01,26,103,9,0,169.1
6,2025-12-01,10,49,7,3,80.3
7,2025-12-01,12,37,7,5,69.9
8,2024-03-01,28,83,11,1,166.1
8,2024-04-01,11,37,7,1,79.9
8,2024-05-01,15,42,5,4,72.4
8,2024-06-01,11,30,10,3,84.0
8,2024-07-01,9,28,8,0,77.6
8,2024-08-01,13,66,6,2,96.2
8,2024-09-01,9,28,12,1,94.6
8,2024-10-01,13,66,10,4,110.2
8,2024-11-01,28,138,6,1,179.6
8,2024-12-01,6,27,6,3,51.9
8,2025-01-01,3,9,7,1,44.3
8,2025-02-01,27,118,11,0,191.6
8,2025-03-01,9,26,8,3,67.2
8,2025-04-01,10,57,6,5,74.9
8,2025-05-01,3,9,4,2,26.3
8,2025-06-01,2,6,9,3,44.2
8,2025-07-01,8,24,8,3,63.8
8,2025-08-01,10,31,8,3,72.7
8,2025-09-01,28,128,7,3,171.6
8,2025-10-01,8,40,6,2,68.0
8,2025-11-01,13,40,11,4,97.0
8,2025-12-01,30,247,10,5,267.9
9,2025-08-01,11,42,12,5,96.4
9,2025-09-01,20,104,12,5,157.8
9,2025-10-01,19,83,21,3,192.1
9,2025-11-01,30,134,8,5,178.8
9,2025-12-01,13,65,17,6,138.5
10,2024-09-01,2,15,12,3,65.5
10,2024-10-01,9,49,8,3,83.3
10,2024-11-01,30,170,5,7,183.0
10,2024-12-01,6,21,5,1,48.7
10,2025-01-01,12,30,9,5,75.0
10,2025-02-01,4,21,11,3,68.7
10,2025-03-01,14,38,9,3,90.6
10,2025-04-01,7,26,8,1,69.2
11,2025-09-01,21,58,5,2,101.6
11,2025-10-01,15,69,6,1,105.3
11,2025-11-01,16,49,11,2,115.3
11,2025-12-01,11,40,10,4,88.0
12,2025-03-01,7,34,5,4,50.8
12,2025-04-01,23,61,6,1,115.7
12,2025-05-01,6,29,3,0,47.3
12,2025-06-01,15,65,4,1,92.5
12,2025-07-01,11,48,2,5,50.6
12,2025-08-01,7,32,2,2,40.4
12,2025-09-01,26,116,10,3,174.2
12,2025-10-01,17,91,6,1,124.7
12,2025-11-01,18,53,7,3,99.1
12,2025-12-01,20,73,3,4,94.1
13,2025-06-01,9,48,10,3,92.6
13,2025-07-01,1,3,9,5,34.1
13,2025-08-01,22,110,12,6,163.0
13,2025-09-01,6,20,7,1,58.0
13,2025-10-01,8,33,6,6,51.1
13,2025-11-01,30,121,8,1,181.7
13,2025-12-01,15,51,12,2,119.7
14,2025-09-01,13,61,7,7,82.7
14,2025-10-01,27,84,5,3,128.8
14,2025-11-01,11,38,7,2,77.6
14,2025-12-01,4,21,6,2,46.7
15,2025-10-01,12,65,9,1,111.5
15,2025-11-01,24,66,12,4,142.2
15,2025-12-01,3,19,9,3,55.3
16,2024-04-01,5,13,11,5,59.1
16,2024-05-01,22,55,9,2,121.5
16,2024-06-01,29,96,4,3,136.2
16,2024-07-01,18,92,10,3,141.4
16,2024-08-01,8,33,7,1,71.1
